,service_date,day_type,bus,rail_boardings,total_rides
6775,2019-07-21,U,360488,342739,703227
6776,2019-07-22,W,733191,716299,1449490
6777,2019-07-23,W,754783,731712,1486495
6778,2019-07-24,W,754694,737880,1492574
6779,2019-07-25,W,746240,746890,1493130
6780,2019-07-26,W,728460,713766,1442226
6781,2019-07-27,A,509542,417935,927477
6782,2019-07-28,U,399059,314226,713285
6783,2019-07-29,W,677033,663313,1340346
6784,2019-07-30,W,744356,721545,1465901
6785,2019-07-31,W,738630,739592,1478222
6786,2019-08-01,W,763703,795333,1559036
6787,2019-08-02,W,740366,804952,1545318
6788,2019-08-03,A,497883,512548,1010431
6789,2019-08-04,U,375863,416740,792603
6790,2019-08-05,W,727517,724021,1451538
6791,2019-08-06,W,737702,738151,1475853
6792,2019-08-07,W,745371,746207,1491578
6793,2019-08-08,W,746213,735310,1481523
6794,2019-08-09,W,720081,716084,1436165
6795,2019-08-10,A,490001,428555,918556
6796,2019-08-11,U,376464,321310,697774
6797,2019-08-12,W,672626,659442,1332068
6798,2019-08-13,W,715539,697693,1413232
6799,2019-08-14,W,708180,698339,1406519
6800,2019-08-15,W,723069,703513,1426582
6801,2019-08-16,W,699501,675393,1374894
6802,2019-08-17,A,456968,396155,853123
6803,2019-08-18,U,330848,289890,620738
6804,2019-08-19,W,697759,669727,1367486
6805,2019-08-20,W,670195,689224,1359419
6806,2019-08-21,W,732929,724089,1457018
6807,2019-08-22,W,739175,741995,1481170
6808,2019-08-23,W,720876,723775,1444651
6809,2019-08-24,A,499355,424284,923639
6810,2019-08-25,U,395847,327749,723596
6811,2019-08-26,W,693566,678343,1371909
6812,2019-08-27,W,776670,740341,1517011
6813,2019-08-28,W,772893,736506,1509399
6814,2019-08-29,W,769645,747141,1516786
6815,2019-08-30,W,761440,717490,1478930
6816,2019-08-31,A,482463,428658,911121
6817,2019-09-01,U,379610,357032,736642
6818,2019-09-02,U,374967,328376,703343
6819,2019-09-03,W,821674,738399,1560073
6820,2019-09-04,W,861286,762868,1624154
6821,2019-09-05,W,853186,800432,1653618
6822,2019-09-06,W,821645,744323,1565968
6823,2019-09-07,A,486423,420502,906925
6824,2019-09-08,U,344385,310823,655208
6825,2019-09-09,W,829266,737160,1566426
6826,2019-09-10,W,856513,769458,1625971
6827,2019-09-11,W,848169,777407,1625576
6828,2019-09-12,W,845028,795224,1640252
6829,2019-09-13,W,822197,800812,1623009
6830,2019-09-14,A,498571,487396,985967
6831,2019-09-15,U,353264,352467,705731
6832,2019-09-16,W,825739,777685,1603424
6833,2019-09-17,W,856186,797063,1653249
6834,2019-09-18,W,859904,807081,1666985
6835,2019-09-19,W,845624,816086,1661710
6836,2019-09-20,W,830757,803291,1634048
6837,2019-09-21,A,489155,440464,929619
6838,2019-09-22,U,338418,299658,638076
6839,2019-09-23,W,832762,766712,1599474
6840,2019-09-24,W,850825,780378,1631203
6841,2019-09-25,W,859089,781453,1640542
6842,2019-09-26,W,853333,791418,1644751
6843,2019-09-27,W,734962,699996,1434958
6844,2019-09-28,A,476234,401745,877979
6845,2019-09-29,U,358174,294350,652524
6846,2019-09-30,W,850333,738159,1588492
6847,2019-10-01,W,905477,772082,1677559
6848,2019-10-02,W,844694,765652,1610346
6849,2019-10-03,W,885919,781701,1667620
6850,2019-10-04,W,851906,740946,1592852
6851,2019-10-05,A,492689,388710,881399
6852,2019-10-06,U,403747,306647,710394
6853,2019-10-07,W,845146,748413,1593559
6854,2019-10-08,W,868009,773805,1641814
6855,2019-10-09,W,857532,766121,1623653
6856,2019-10-10,W,855556,803767,1659323
6857,2019-10-11,W,776609,762011,1538620
6858,2019-10-12,A,480048,470284,950332
6859,2019-10-13,U,319885,522816,842701
6860,2019-10-14,W,666607,698402,1365009
6861,2019-10-15,W,844826,788101,1632927
6862,2019-10-16,W,845543,782133,1627676
6863,2019-10-17,W,787285,790202,1577487
6864,2019-10-18,W,762811,778466,1541277
6865,2019-10-19,A,499700,467794,967494
6866,2019-10-20,U,377822,340156,717978
6867,2019-10-21,W,739027,727743,1466770
6868,2019-10-22,W,772142,750644,1522786
6869,2019-10-23,W,789783,791468,1581251
6870,2019-10-24,W,790853,766559,1557412
6871,2019-10-25,W,757907,729221,1487128
6872,2019-10-26,A,412819,356371,769190
6873,2019-10-27,U,390090,314740,704830
6874,2019-10-28,W,762580,729809,1492389
6875,2019-10-29,W,781400,752054,1533454
6876,2019-10-30,W,733054,721966,1455020
6877,2019-10-31,W,698934,693962,1392896
6878,2019-11-01,W,798542,719267,1517809
6879,2019-11-02,A,467877,381954,849831
6880,2019-11-03,U,356367,310621,666988
6881,2019-11-04,W,848867,749735,1598602
6882,2019-11-05,W,855055,769233,1624288
6883,2019-11-06,W,840399,762015,1602414
6884,2019-11-07,W,821063,768460,1589523
6885,2019-11-08,W,718820,702518,1421338
6886,2019-11-09,A,479816,386355,866171
6887,2019-11-10,U,353042,292170,645212
6888,2019-11-11,W,590714,604475,1195189
6889,2019-11-12,W,756604,724448,1481052
6890,2019-11-13,W,762247,729140,1491387
6891,2019-11-14,W,764328,745044,1509372
6892,2019-11-15,W,794430,732607,1527037
6893,2019-11-16,A,467987,398924,866911
6894,2019-11-17,U,340985,280372,621357
6895,2019-11-18,W,807951,731335,1539286
6896,2019-11-19,W,822152,755257,1577409
6897,2019-11-20,W,839934,756096,1596030
6898,2019-11-21,W,790016,752762,1542778
6899,2019-11-22,W,817445,782838,1600283
6900,2019-11-23,A,468337,443394,911731
6901,2019-11-24,U,358133,301849,659982
6902,2019-11-25,W,810928,721624,1532552
6903,2019-11-26,W,791651,707015,1498666
6904,2019-11-27,W,669245,576379,1245624
6905,2019-11-28,U,244233,186732,430965
6906,2019-11-29,W,480801,373012,853813
6907,2019-11-30,A,386439,302733,689172
6908,2019-12-01,U,315646,257317,572963
6909,2019-12-02,W,803894,702424,1506318
6910,2019-12-03,W,849440,732651,1582091
6911,2019-12-04,W,837738,739104,1576842
6912,2019-12-05,W,833516,761399,1594915
6913,2019-12-06,W,799551,729231,1528782
6914,2019-12-07,A,472207,404394,876601
6915,2019-12-08,U,347917,286023,633940
6916,2019-12-09,W,786431,690443,1476874
6917,2019-12-10,W,770888,697269,1468157
6918,2019-12-11,W,753922,692730,1446652
6919,2019-12-12,W,787393,716707,1504100
6920,2019-12-13,W,788504,704438,1492942
6921,2019-12-14,A,471203,367508,838711
6922,2019-12-15,U,348516,255659,604175
6923,2019-12-16,W,743694,648766,1392460
6924,2019-12-17,W,765207,678194,1443401
6925,2019-12-18,W,734493,658439,1392932
6926,2019-12-19,W,745959,664554,1410513
6927,2019-12-20,W,731997,640236,1372233
6928,2019-12-21,A,454167,356991,811158
6929,2019-12-22,U,350959,283094,634053
6930,2019-12-23,W,601685,501524,1103209
6931,2019-12-24,W,462098,310604,772702
6932,2019-12-25,U,200121,133009,333130
6933,2019-12-26,W,517911,402948,920859
6934,2019-12-27,W,552198,445835,998033
6935,2019-12-28,A,394869,298646,693515
6936,2019-12-29,U,315428,251105,566533
6937,2019-12-30,W,544713,480721,1025434
6938,2019-12-31,W,511289,431677,942966
6939,2020-01-01,U,267300,255759,523059
6940,2020-01-02,W,651421,565139,1216560
6941,2020-01-03,W,688165,578202,1266367
6942,2020-01-04,A,409243,306656,715899
6943,2020-01-05,U,314424,234155,548579
6944,2020-01-06,W,750349,659521,1409870
6945,2020-01-07,W,775765,677497,1453262
6946,2020-01-08,W,744261,665227,1409488
6947,2020-01-09,W,758063,679244,1437307
6948,2020-01-10,W,753866,654344,1408210
6949,2020-01-11,A,345787,281493,627280
6950,2020-01-12,U,294457,237736,532193
6951,2020-01-13,W,775861,699927,1475788
6952,2020-01-14,W,807239,720277,1527516
6953,2020-01-15,W,794821,720057,1514878
6954,2020-01-16,W,774375,715978,1490353
6955,2020-01-17,W,737073,687789,1424862
6956,2020-01-18,A,371460,319878,691338
6957,2020-01-19,U,256029,219005,475034
6958,2020-01-20,W,477995,410324,888319
6959,2020-01-21,W,789718,712386,1502104
6960,2020-01-22,W,794213,715399,1509612
6961,2020-01-23,W,768601,717469,1486070
6962,2020-01-24,W,745526,677320,1422846
6963,2020-01-25,A,408051,320905,728956
6964,2020-01-26,U,318824,241153,559977
6965,2020-01-27,W,790014,697371,1487385
6966,2020-01-28,W,802484,715500,1517984
6967,2020-01-29,W,793740,711177,1504917
6968,2020-01-30,W,787640,718793,1506433
6969,2020-01-31,W,735622,665472,1401094
6970,2020-02-01,A,449112,325925,775037
6971,2020-02-02,U,352056,253149,605205
6972,2020-02-03,W,816538,689308,1505846
6973,2020-02-04,W,806946,710072,1517018
6974,2020-02-05,W,802795,707772,1510567
6975,2020-02-06,W,761859,701795,1463654
6976,2020-02-07,W,778480,676805,1455285
6977,2020-02-08,A,456540,325289,781829
6978,2020-02-09,U,310705,223411,534116
6979,2020-02-10,W,799851,694168,1494019
6980,2020-02-11,W,819275,717350,1536625
6981,2020-02-12,W,785838,697300,1483138
6982,2020-02-13,W,746798,689019,1435817
6983,2020-02-14,W,674960,628729,1303689
6984,2020-02-15,A,408435,326795,735230
6985,2020-02-16,U,338343,267790,606133
6986,2020-02-17,W,567523,502927,1070450
6987,2020-02-18,W,815098,711305,1526403
6988,2020-02-19,W,804097,707598,1511695
6989,2020-02-20,W,778698,700575,1479273
6990,2020-02-21,W,782853,675973,1458826
6991,2020-02-22,A,463771,344117,807888
6992,2020-02-23,U,357784,260505,618289
6993,2020-02-24,W,789498,682036,1471534
6994,2020-02-25,W,781725,693749,1475474
6995,2020-02-26,W,756936,682501,1439437
6996,2020-02-27,W,778992,698886,1477878
6997,2020-02-28,W,786008,665937,1451945
